col_id,emp_id,emp_type,cost,schedule_pattern,in_final_mip,is_selected,reduced_cost
220,0,TypeA,49300,000000111111111000000000000000111111111100000000000000000001111111110000000000000000000000000000000000000000011111111100000000000000000000000000000000001111111110000000,1,0,1402733.8524035169
221,1,TypeB,39100,001111111000000000000000000000111111110000000000000000000000000000000000000000000000011111111000000000011111110000000000111111100000000000000000000000000000000000000000,1,0,1235570.1421801
222,2,TypeB,39100,001111111000000000000000000000111111110000000000000000000000000000000000000000000000011111111000000000011111110000000000111111100000000000000000000000000000000000000000,1,0,1235570.1421800982
223,3,TypeC,28500,000000000000011110000000000000000000000000000000000000011111100000000000000000000000000111111000000000000000011110000000000000111100000000000000000000000000000000000000,1,0,13285.308056871872
224,4,TypeC,28500,000000000000011110000000000000000000000000000000000000011111100000000000000000000000000111111000000000000000011110000000000000111100000000000000000000000000000000000000,1,0,13285.308056871407
225,0,TypeA,53900,000000000000011111111100000000000111111111100000000000000000000000000011111111100000000000000000000000000000000000000111111111100000000000000000000000001111111110000000,1,0,2907492.5524712224
226,1,TypeB,41400,000000000000001111111100000000000111111110000000000000111111100000000000000000000000000000000000000000000000011111111000000000000111111110000000000000000000000000000000,1,0,1123160.3249830743
227,2,TypeB,41400,000000000000001111111100000000000111111110000000000000111111100000000000000000000000000000000000000000000000011111111000000000000111111110000000000000000000000000000000,1,0,1123160.3249830725
228,3,TypeC,31200,001111100000000000000000000000000000011111100000000000000001111110000000000000000000000000000000000000000000000000011111100000000000011110000000000000000000000000000000,1,0,1223801.8957345993
229,4,TypeC,31200,001111100000000000000000000000000000011111100000000000000001111110000000000000000000000000000000000000000000000000011111100000000000011110000000000000000000000000000000,1,0,1223801.8957345989
230,0,TypeA,53500,000000000000000000000000111111111100000000000000000000000000000000000000000000111111111100000000000000011111111110000000000000000111111111100000000000001111111110000000,1,0,-9.313225746154785e-10
231,1,TypeB,41400,001111111100000000000000001111111100000000000000011111111000000000000000000000000000000000000000000000000000011111110000000000111111110000000000000000000000000000000000,1,0,757330.5348679759
232,2,TypeB,41400,001111111100000000000000001111111100000000000000011111111000000000000000000000000000000000000000000000000000011111110000000000111111110000000000000000000000000000000000,1,0,757330.534867974
233,3,TypeC,26300,001111100000000000000000000000000000000000000000011111000000000000000000000000000000011100000000000000000000011110000000000000000000011111100000000000000000000000000000,1,0,1684625.4570074475
234,4,TypeC,26300,001111100000000000000000000000000000000000000000011111000000000000000000000000000000011100000000000000000000011110000000000000000000011111100000000000000000000000000000,1,0,1684625.457007447
235,0,TypeA,53100,000000001111111110000000000000111111111100000000000000000000000000000000000000111111111100000000000000000000000000000000111111111100000000000000000000001111111110000000,1,0,623902.3019634383
236,1,TypeB,41400,000000000000001111111100000000000000000000000000000001111111000000000000000000000000011111111000000000000000011111111000000000111111110000000000000000000000000000000000,1,0,1146912.5253893007
237,2,TypeB,41400,000000000000001111111100000000000000000000000000000001111111000000000000000000000000011111111000000000000000011111111000000000111111110000000000000000000000000000000000,1,0,1146912.5253892988
238,3,TypeC,29400,000000000000000011111100000000000000000000000000011111000000000000000000011111100000000000000000000000000000000000000000000000000000011110000000000000111111000000000000,1,0,1360864.5903859152
239,4,TypeC,29400,000000000000000011111100000000000000000000000000011111000000000000000000011111100000000000000000000000000000000000000000000000000000011110000000000000111111000000000000,1,0,1360864.5903859148
240,0,TypeA,51100,000000111111111100000000000000000000000000000000000000000001111111110000000000000000011111111000000000000000000000000111111111100000000000000000000000001111111110000000,1,0,1958947.461069733
241,1,TypeB,41400,001111111100000000000000000000000000000000000000011111111000000000000000000000000000011111111000000000011111110000000000000000111111110000000000000000000000000000000000,1,0,697342.1800947897
242,2,TypeB,41400,001111111100000000000000000000000000000000000000011111111000000000000000000000000000011111111000000000011111110000000000000000111111110000000000000000000000000000000000,1,0,697342.1800947879
243,3,TypeC,30000,000000000000000000000000000000000000000000000000011111100000000000011110000000000000000000000000000000000000000011111100000000000000011111100000000000000000111110000000,1,0,283139.7427217341
244,4,TypeC,30000,000000000000000000000000000000000000000000000000011111100000000000011110000000000000000000000000000000000000000011111100000000000000011111100000000000000000111110000000,1,0,283139.74272173364
