col_id,emp_id,emp_type,cost,schedule_pattern,in_final_mip,is_selected,reduced_cost
544,2,TypeB,42800,000000000000000000000001111111000000000000000000000000011111111000000000000000000011111110000000000000000000000000000000000000011111111000000000000000011111111000000000,0,0,-1.862645149230957e-09
545,3,TypeC,32000,000000000111111000000000000000000000000000000000000000000000111111000000000000000011110000000000000000000111110000000000000011111000000000000000000000000000000000000000,0,0,2067449.4773020213
546,4,TypeC,32000,000000000111111000000000000000000000000000000000000000000000111111000000000000000011110000000000000000000111110000000000000011111000000000000000000000000000000000000000,0,0,2067449.4773020213
547,0,TypeA,59500,000000000000000000000000000000000000000000000000111111111000000000000111111111100000000000000000111111111100000000000000000000111111111100000000000001111111111000000000,0,0,3600503.4655592125
548,1,TypeB,40200,000000000000000000000001111111000000000000000000000000011111111000000000000000000011111110000000000000000000000000000000000000000000000000000111111100000000000011111110,0,0,1397427.4667048566
549,2,TypeB,40200,000000000000000000000001111111000000000000000000000000011111111000000000000000000011111110000000000000000000000000000000000000000000000000000111111100000000000011111110,0,0,1397427.4667048566
550,3,TypeC,32300,000000000111111000000000000000000000000000000000000000011111100000000001111110000000000000000000000011111100000000000000000011111000000000000000000000000000000000000000,0,0,2719754.8761277394
551,4,TypeC,32300,000000000111111000000000000000000000000000000000000000011111100000000001111110000000000000000000000011111100000000000000000011111000000000000000000000000000000000000000,0,0,2719754.8761277394
552,0,TypeA,58900,111111111100000000000000000000000000000000000000000000001111111111000000000000000000011111111100000000000000000000000011111111110000000000000011111111110000000000000000,0,0,2037858.5278533567
553,1,TypeB,42500,000000000000000000000000000000011111110000000000000000000000000000011111111000000000000000000000000000000111111110000000000000111111110000000000000001111111000000000000,1,0,1342936.4886152036
554,2,TypeB,42500,000000000000000000000000000000011111110000000000000000000000000000011111111000000000000000000000000000000111111110000000000000111111110000000000000001111111000000000000,1,0,1342936.4886152036
555,3,TypeC,23000,111100000000000000000000000000000000000000000000000000000000000000000000001111100000000000001111100000000000000000000011100000000000000001111110000000000000000000000000,0,0,3872442.932836889
556,4,TypeC,23000,111100000000000000000000000000000000000000000000000000000000000000000000001111100000000000001111100000000000000000000011100000000000000001111110000000000000000000000000,0,0,3872442.932836889
557,0,TypeA,62900,111111111100000000000000000000000000011111111110000000000000000000011111111110000000000000000000000000000000000000000011111111110000000000000011111111110000000000000000,1,0,1631680.4811685495
558,1,TypeB,41400,000000000000000000000000000000011111110000000000000000000000000000000011111111000000000011111111000000000111111110000000000000000000000000000000000000011111111000000000,0,0,881580.2950021476
559,2,TypeB,41400,000000000000000000000000000000011111110000000000000000000000000000000011111111000000000011111111000000000111111110000000000000000000000000000000000000011111111000000000,0,0,881580.2950021476
560,3,TypeC,26000,111100000000000000000000001111110000000000000000000000000000000000000000001111110000000000001111100000000000000000000000000011111000000000000000000000000000000000000000,0,0,2552805.6995560657
561,4,TypeC,26000,111100000000000000000000001111110000000000000000000000000000000000000000001111110000000000001111100000000000000000000000000011111000000000000000000000000000000000000000,0,0,2552805.6995560657
562,0,TypeA,58800,111111111100000000000000000000000000000000000000000000011111111000000000000011111111110000000000000000000000000000000011111111110000000000000011111111110000000000000000,1,0,2392146.3411141317
563,1,TypeB,40100,000000000000000000000000000000011111110000000000000000000000000000000111111110000000000011111111000000000111111110000000000000000000000000000000000000011111110000000000,0,0,997838.4934841748
564,2,TypeB,40100,000000000000000000000000000000011111110000000000000000000000000000000111111110000000000011111111000000000111111110000000000000000000000000000000000000011111110000000000,0,0,997838.4934841748
565,3,TypeC,24200,111100000000000000000000000000000000000000000000000000000000000000000000001111110000000000001111100000000000000000000011100000000000011111000000000000000000000000000000,0,0,3246793.025920091
566,4,TypeC,24200,111100000000000000000000000000000000000000000000000000000000000000000000001111110000000000001111100000000000000000000011100000000000011111000000000000000000000000000000,0,0,3246793.025920091
567,0,TypeA,53100,000000000000000000000000000000000000011111111110000000000000111111111100000000000000011111111100000000000000000000000000000000111111111100000000000001111111110000000000,0,0,1316331.934698552
