==========================================================
 ANALYSIS REPORT: Week 1
==========================================================

0. Solver Configuration
-----------------------
  max_iter             : 1000
  time_limit           : 3600
  tol                  : 1e-08
  patience             : 100
  mip_rc_threshold     : 1e+10
  mip_gap              : 0.0001

1. Performance Metrics
----------------------
  Objective Value : 8,159,000.00
  RMP Relaxed Value (Root): 8,159,000.00
  Integrality Gap       : 0.0000 %
  MIP Best Bound (Final)  : 8,159,000.00
  Final MIP Gap           : 0.0000 %
  Execution Time  : 376.4360 sec
  Iterations      : 241
  RMP Time  : 67.4830 s
  MIP Time  : 0.6965 s
  Pool Search Time: 278.9854 s
  Graph Search Time: 0.0000 s
  MIP Decision Variables: 979 (Columns used in Final MIP)
  MIP Filtered Columns  : 0 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 979
  Columns Added to RMP              : 964
  Columns Added to Queue (Backlog)  : 5608658

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:    2 / Total Gen:    2
       -> Avg Length of Unique Patterns: 27.0 hours
  Type: TypeB  | Unique Patterns:  483 / Total Gen:  486
       -> Avg Length of Unique Patterns: 31.2 hours
  Type: TypeC  | Unique Patterns:  483 / Total Gen:  486
       -> Avg Length of Unique Patterns: 20.8 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 46 hours worked
  Emp 1  (TypeB): 34 hours worked
  Emp 2  (TypeB): 29 hours worked
  Emp 3  (TypeC): 24 hours worked
  Emp 4  (TypeC): 20 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | RMP Add    | Queue Add 
183   | 8,159,000.00    | 4          | 11226     
184   | 8,159,000.00    | 4          | 14320     
185   | 8,159,000.00    | 4          | 15723     
186   | 8,159,000.00    | 4          | 17853     
187   | 8,159,000.00    | 4          | 11500     
188   | 8,159,000.00    | 4          | 13018     
189   | 8,159,000.00    | 4          | 13226     
190   | 8,159,000.00    | 4          | 10751     
191   | 8,159,000.00    | 4          | 16686     
192   | 8,159,000.00    | 4          | 13096     
193   | 8,159,000.00    | 4          | 11740     
194   | 8,159,000.00    | 4          | 16726     
195   | 8,159,000.00    | 4          | 9655      
196   | 8,159,000.00    | 4          | 12667     
197   | 8,159,000.00    | 4          | 13739     
198   | 8,159,000.00    | 4          | 13454     
199   | 8,159,000.00    | 4          | 13657     
200   | 8,159,000.00    | 4          | 8159      
201   | 8,159,000.00    | 4          | 10478     
202   | 8,159,000.00    | 4          | 10788     
203   | 8,159,000.00    | 4          | 10424     
204   | 8,159,000.00    | 4          | 6858      
205   | 8,159,000.00    | 4          | 9147      
206   | 8,159,000.00    | 4          | 6550      
207   | 8,159,000.00    | 4          | 8288      
208   | 8,159,000.00    | 4          | 6777      
209   | 8,159,000.00    | 4          | 4642      
210   | 8,159,000.00    | 4          | 7843      
211   | 8,159,000.00    | 4          | 11046     
212   | 8,159,000.00    | 4          | 8770      
213   | 8,159,000.00    | 4          | 7833      
214   | 8,159,000.00    | 4          | 6924      
215   | 8,159,000.00    | 4          | 7266      
216   | 8,159,000.00    | 4          | 6416      
217   | 8,159,000.00    | 4          | 5307      
218   | 8,159,000.00    | 4          | 7646      
219   | 8,159,000.00    | 4          | 5541      
220   | 8,159,000.00    | 4          | 8476      
221   | 8,159,000.00    | 4          | 6292      
222   | 8,159,000.00    | 4          | 15677     
223   | 8,159,000.00    | 4          | 23394     
224   | 8,159,000.00    | 4          | 20546     
225   | 8,159,000.00    | 4          | 18400     
226   | 8,159,000.00    | 4          | 16330     
227   | 8,159,000.00    | 4          | 15008     
228   | 8,159,000.00    | 4          | 15193     
229   | 8,159,000.00    | 4          | 12557     
230   | 8,159,000.00    | 4          | 16969     
231   | 8,159,000.00    | 4          | 13588     
232   | 8,159,000.00    | 4          | 14702     
233   | 8,159,000.00    | 4          | 8623      
234   | 8,159,000.00    | 4          | 15947     
235   | 8,159,000.00    | 4          | 13242     
236   | 8,159,000.00    | 4          | 13324     
237   | 8,159,000.00    | 4          | 16077     
238   | 8,159,000.00    | 4          | 14550     
239   | 8,159,000.00    | 4          | 13391     
240   | 8,159,000.00    | 4          | 13476     
241   | 8,159,000.00    | 4          | 11469     
