col_id,emp_id,emp_type,cost,schedule_pattern,in_final_mip,is_selected,usage_int,usage_rmp
1086,4,TypeC,32800,000000000000111110000000000000000000000000000111110000000000000000000000000000000000011111100000000000001111110000000000000000000000000000000000000001111110000000000000,0,0,0,1
1087,0,TypeA,48400,000000000000111111111100000000000000000000000000000000000000000000000000000000011111111100000000000000011111111100000000000000001111111110000000000000000111111111000000,0,0,0,0
1088,1,TypeB,42800,000000000000111111100000000000000000000000000000000000001111111100000000000000011111110000000000000000000000000000000000001111111100000000000001111111100000000000000000,1,0,0,3
1089,2,TypeB,42800,000000000000111111100000000000000000000000000000000000001111111100000000000000011111110000000000000000000000000000000000001111111100000000000001111111100000000000000000,1,0,0,4
1090,3,TypeC,28900,000000000000000011111100000000000000000000000111110000000000000000000000000000000000011100000000000000000000000000000000000000001111110000000000000000000000011111000000,0,0,0,0
1091,4,TypeC,28900,000000000000000011111100000000000000000000000111110000000000000000000000000000000000011100000000000000000000000000000000000000001111110000000000000000000000011111000000,0,0,0,0
1092,0,TypeA,56000,000011111111100000000000000000111111111100000000000000000000000000000001111111110000000000000000011111111110000000000000000000000000000000000000000000000000000111111111,0,0,0,5
1093,1,TypeB,39400,000000000000000011111110000000000000000111111100000000000000000000000000000000111111110000000000000000011111110000000000000000000111111110000000000000000000000000000000,0,0,0,7
1094,2,TypeB,39400,000000000000000011111110000000000000000111111100000000000000000000000000000000111111110000000000000000011111110000000000000000000111111110000000000000000000000000000000,0,0,0,8
1095,3,TypeC,31500,000011111100000000000000000000000000000000000111110000000000000000000000000000000000011110000000000000000000000000000000000000001111110000000000000000000000111111000000,0,0,0,3
1096,4,TypeC,31500,000011111100000000000000000000000000000000000111110000000000000000000000000000000000011110000000000000000000000000000000000000001111110000000000000000000000111111000000,0,0,0,2
1097,0,TypeA,52500,000000000000000000000000000000111111111100000000000000001111111111000000000000011111111110000000000000000000000000000000111111111000000000000000000000000111111111000000,1,0,0,13
1098,1,TypeB,38100,000000111111100000000000000111111110000000000000000000001111111100000000000000000000011111100000000000000000000000000000000000000000000000000000000111111100000000000000,1,0,0,0
1099,2,TypeB,38100,000000111111100000000000000111111110000000000000000000001111111100000000000000000000011111100000000000000000000000000000000000000000000000000000000111111100000000000000,1,0,0,1
1100,3,TypeC,30000,011111100000000000000000000000000011111100000000000000000000000000000001110000000000011111100000000000000000000000000000000111111000000000000000000000000000000000000000,1,0,0,16
1101,4,TypeC,30000,011111100000000000000000000000000011111100000000000000000000000000000001110000000000011111100000000000000000000000000000000111111000000000000000000000000000000000000000,1,0,0,6
1102,0,TypeA,51700,000000000000111111111100000000000000000000000000000000011111111100000000000000011111111110000000000000000011111111110000000000001111111111000000000000000000000000000000,1,0,0,1
1103,1,TypeB,40400,000000000000111111100000000000000000000111111100000000001111111100000000000000000000000000000000011111111000000000000000000000000000000000000000000111111110000000000000,1,0,0,14
1104,2,TypeB,40400,000000000000111111100000000000000000000111111100000000001111111100000000000000000000000000000000011111111000000000000000000000000000000000000000000111111110000000000000,1,0,0,11
1105,3,TypeC,30500,000000000000111111000000000000000000000000000111110000000000000111100000000000000000000000000000000000011111100000000000000000000000011111000000000000000000000000000000,1,0,0,6
1106,4,TypeC,30500,000000000000111111000000000000000000000000000111110000000000000111100000000000000000000000000000000000011111100000000000000000000000011111000000000000000000000000000000,1,0,0,5
1107,0,TypeA,57700,000111111111100000000000000000111111111100000000000000000000000000000000000000011111111110000000000000000000000000000000111111111100000000000001111111110000000000000000,0,0,0,0
1108,1,TypeB,43800,000000111111110000000000000000000000000111111100000000000000000000111111110000000000000000000000000000000000000000000000001111111100000000000000000000111111110000000000,1,0,0,14
1109,2,TypeB,43800,000000111111110000000000000000000000000111111100000000000000000000111111110000000000000000000000000000000000000000000000001111111100000000000000000000111111110000000000,1,0,0,22
1110,3,TypeC,23400,000000000000000000000000000000000000000000000111110000000000000000000001110000000000011110000000000000000000000000000000111100000000000000000000000000000000011111000000,1,0,0,8
1111,4,TypeC,23400,000000000000000000000000000000000000000000000111110000000000000000000001110000000000011110000000000000000000000000000000111100000000000000000000000000000000011111000000,1,0,0,5
1112,0,TypeA,50100,000000001111111110000000000000111111111100000000000000000000000000000000000000011111111110000000000000000011111111110000000000000000000000000000000000000111111111000000,0,0,0,8
